Data,vendas,
2000.01,30.85988,
2000.02,29.70918,
2000.03,31.48754,
2000.04,30.12761,
2000.05,36.4042,
2000.06,31.90598,
2000.07,35.14888,
2000.08,36.29959,
2000.09,33.68435,
2000.10,35.56732,
2000.11,37.76413,
2000.12,57.63998,
2001.01,34.31201,
2001.02,29.49996,
2001.03,34.83505,
2001.04,31.0691,
2001.05,36.50881,
2001.06,30.96449,
2001.07,33.37052,
2001.08,33.57974,
2001.09,31.59215,
2001.10,35.3581,
2001.11,35.25349,
2001.12,55.12935,
2002.01,34.62583,
2002.02,29.18613,
2002.03,33.47513,
2002.04,33.68435,
2002.05,37.13647,
2002.06,31.59215,
2002.07,33.26591,
2002.08,34.10279,
2002.09,31.27832,
2002.10,35.25349,
2002.11,34.62583,
2002.12,50.52652,
2003.01,30.85988,
2003.02,28.55847,
2003.03,28.14003,
2003.04,28.24464,
2003.05,33.1613,
2003.06,30.12761,
2003.07,32.84747,
2003.08,33.68435,
2003.09,33.47513,
2003.10,37.24108,
2003.11,37.76413,
2003.12,61.09211,
2004.01,36.71803,
2004.02,33.26591,
2004.03,38.39179,
2004.04,37.55491,
2004.05,44.77298,
2004.06,41.00703,
2004.07,43.51767,
2004.08,43.30845,
2004.09,40.27476,
2004.10,44.45915,
2004.11,45.92369,
2004.12,75.63287,
2005.01,43.9361,
2005.02,38.81023,
2005.03,45.19142,
2005.04,46.55135,
2005.05,53.03715,
2005.06,49.68964,
2005.07,50.73574,
2005.08,50.52652,
2005.09,45.19142,
2005.10,49.68964,
2005.11,52.61872,
2005.12,82.74633,
2006.01,49.48042,
2006.02,42.47157,
2006.03,50.10808,
2006.04,47.91128,
2006.05,61.09211,
2006.06,51.25879,
2006.07,51.57262,
2006.08,55.96623,
2006.09,54.50169,
2006.10,58.68608,
2006.11,60.25523,
2006.12,87.7676,
2007.01,61.30133,
2007.02,50.63113,
2007.03,58.99991,
2007.04,54.18786,
2007.05,67.4733,
2007.06,59.52296,
2007.07,60.9875,
2007.08,65.59033,
2007.09,61.40594,
2007.10,66.84564,
2007.11,69.67011,
2007.12,98.01936,
2008.01,71.13465,
2008.02,61.82438,
2008.03,67.4733,
2008.04,69.25167,
2008.05,78.35272,
2008.06,69.14706,
2008.07,73.01762,
2008.08,74.16833,
2008.09,74.48216,
2008.10,77.30662,
2008.11,72.8084,
2008.12,102.51758,
2009.01,75.52826,
2009.02,60.56906,
2009.03,66.84564,
2009.04,62.34742,
2009.05,73.54067,
2009.06,68.41479,
2009.07,73.33145,
2009.08,74.58677,
2009.09,75.9467,
2009.10,80.02648,
2009.11,82.85094,
2009.12,116.11685,
2010.01,88.91831,
2010.02,73.95911,
2010.03,83.79243,
2010.04,76.36513,
2010.05,87.97682,
2010.06,80.02648,
2010.07,82.32789,
2010.08,87.03533,
2010.09,86.82611,
2010.10,92.26582,
2010.11,99.90233,
2010.12,137.45724,
2011.01,105.9697,
2011.02,89.02292,
2011.03,93.20731,
2011.04,91.11511,
2011.05,105.86509,
2011.06,93.1027,
2011.07,99.5885,
2011.08,101.78531,
2011.09,100.6346,
2011.10,104.40055,
2011.11,112.14168,
2011.12,158.48381,
2012.01,119.8828,
2012.02,101.05304,
2012.03,112.66473,
2012.04,102.41297,
2012.05,115.69841,
2012.06,107.74807,
2012.07,112.14168,
2012.08,117.37217,
2012.09,106.91119,
2012.10,118.73209,
2012.11,121.66117,
2012.12,171.76925,
2013.01,126.78704,
2013.02,100.11155,
2013.03,111.72324,
2013.04,111.72324,
2013.05,123.02109,
2013.06,110.78175,
2013.07,124.48563,
2013.08,126.57783,
2013.09,114.86153,
2013.10,124.69485,
2013.11,132.64519,
2013.12,170.30471,
2014.01,134.10973,
2014.02,110.57253,
2014.03,116.01224,
2014.04,114.5477,
2014.05,133.16824,
2014.06,110.88636,
2014.07,113.08316,
2014.08,117.05834,
2014.09,114.96614,
2014.10,122.49804,
2014.11,135.67888,
2014.12,164.44656,
2015.01,129.61151,
2015.02,98.75163,
2015.03,108.16651,
2015.04,96.97326,
2015.05,108.58494,
2015.06,95.82255,
2015.07,98.64702,
2015.08,95.2995,
2015.09,93.93958,
2015.10,102.7268,
2015.11,115.69841,
2015.12,133.37746,
2016.01,97.60092,
2016.02,88.60448,
2016.03,93.20731,
2016.04,87.13994,
2016.05,92.0566,
2016.06,85.57079,
2016.07,88.08143,
2016.08,86.40767,
2016.09,81.3864,
2016.10,88.8137,
2016.11,106.59736,
2016.12,121.55656,
2017.01,101.4598,
2017.02,83.32867,
2017.03,102.97487,
2017.04,87.04713,
2017.05,104.90906,
2017.06,96.04236,
2017.07,99.42537,
2017.08,100.69912,
2017.09,94.87442,
2017.10,97.71358,
2017.11,123.23594,
2017.12,131.69491,
2018.01,106.74535,
2018.02,86.33921,
2018.03,99.70024,
2018.04,91.86998,
2018.05,97.77967,
2018.06,96.75622,
2018.07,92.38179,
2018.08,97.62316,
2018.09,92.75949,
2018.10,95.92435,
2018.11,125.13995,
2018.12,124.6964,
2019.01,103.77594,
2019.02,88.69443,
2019.03,94.86569,
2019.04,91.85391,
2019.05,103.43092,
2019.06,90.34463,
2019.07,99.24246,
2019.08,96.3546,
2019.09,100.35046,
2019.10,103.67241,
2019.11,131.15192,
2019.12,147.92411,
2020.01,115.23134,
2020.02,99.11885,
2020.03,83.30183,
2020.04,59.08422,
2020.05,95.1637,
2020.06,112.9706,
2020.07,125.47921,
2020.08,131.31074,
2020.09,129.26491,
2020.10,126.4086,
2020.11,154.69461,
2020.12,151.7397,
2021.01,109.25507,
2021.02,99.79274,
2021.03,93.04827,
2021.04,101.09749,
2021.05,116.74577,
2021.06,106.97871,
2021.07,110.43412,
2021.08,105.32061,
2021.09,100.03023,
2021.10,97.7215,
2021.11,121.7517,
2021.12,124.55411,
2022.01,96.80806,
2022.02,86.49536,
2022.03,99.7062,
2022.04,92.26457,
2022.05,102.10036,
2022.06,91.29342,
2022.07,94.38813,
2022.08,96.19233,
2022.09,93.88801,
2022.10,96.96139,
2022.11,124.96135,
2022.12,124.94083,
2023.01,101.20356,
2023.02,87.71961,
2023.03,104.32986,
2023.04,90.16257,
2023.05,103.44336,
2023.06,94.49179,
2023.07,98.46283,
2023.08,95.90508,
2023.09,96.53162,
2023.10,97.44566,
2023.11,133.21237,
2023.12,122.05268,
2024.01,102.67658,
2024.02,90.0204,
2024.03,99.71625,
2024.04,97.29842,
2024.05,105.56256,
2024.06,100.85241,
2024.07,106.4624,
2024.08,101.98174,
2024.09,96.34659,
2024.10,106.83082,
2024.11,133.97967,
2024.12,133.6141,
2025.01,107.58495,
2025.02,98.74399,
2025.03,102.7541,
2025.04,97.6047,
2025.05,113.00744,
2025.06,100.48074,
2025.07,109.85707,
2025.08,104.17022,
2025.09,103.54003,
